name,grams,kcal
"Svin, ytrefilet, rå",100,110
,,
"Svin, tilberedt",,
"Svin, bacon med svor, stekt",100,452
"Svin, familieribbe, stekt",80,468
"Svin, flatbiff, stekt",100,138
"Svin, koteletter, kam med fettrand, stekt",79,348
"Svin, koteletter, kam uten fettrand, stekt",57,240
"Svin, nakkekoteletter, stekt",77,321
"Svin, sideflesk, lettsaltet, stekt",100,451
"Svin, stek uten fettrand, ovnsstekt",100,186
"Svin, stek, med fettrand, ovnsstekt",100,313
,,
Diverse kjøttprodukter,,
"Diverse kjøtt, farse, innmat, rå",,
"Blod, okse, rå",100,77
"Elg, ytterlår, stek, rå",100,100
"Hamburger, rå",100,167
"Hare, kjøtt, rå",100,129
"Hjerte, rå",82,107
"Hjort, stek, rå",100,98
"Hval, kjøtt, rå",100,120
"Kanin, kjøtt, rå",100,124
"Karbonadedeig, rå",100,103
"Karbonadedeig, stekt uten fett",100,193
"Kjøttdeig, kylling, rå",100,145
"Kjøttdeig, storfe, med salt og vann, rå",100,185
"Kjøttdeig, storfe, stekt uten fett",100,288
"Kjøttdeig, storfe, uten salt og vann, rå",100,196
"Kjøttdeig, svin, rå",100,144
"Kjøttdeig, svin, stekt uten fett",100,202
"Kjøttfarse, rå",100,165
"Lever, kylling, rå",100,113
"Lever, lam, rå",100,128
"Lever, rein, rå",94,128
"Lever, storfe, rå",100,124
"Lever, svin, rå",100,120
"Medisterdeig, rå",100,206
"Reinsdyr, bog, stek, rå",100,118
"Rådyr, kjøtt, rå",100,95
"Villsvin, kjøtt, rå",100,105
"Wienersnitzel, rå",100,244
,,
"Diverse kjøtt, farse, innmat, tilberedt",,
Blodpudding,100,369
"Bogskinke, hermetisk",100,135
"Elg, stek, ovnsstekt",100,143
"Lungemos, kjøpt",100,120
"Reinsdyr, kjøtt, røkt",100,114
"Reinsdyr, kjøtt, tørket, rå",100,318
"Reinsdyrskav, fryst, rå",100,145
,,
"Lam, storfe, svin, tilberedt",,
Pølser,,
"Chorizo, pølse",100,360
Falukorv,100,257
Fleskepølse,100,366
Fårepølse,100,339
Grillpølse,100,217
"Grillpølse, Gilde",100,197
"Grillpølse, kalkun og kylling",100,175
"Grillpølse, kalkun og kylling, Prior",100,162
"Grillpølse, kalkun og kylling, Solvinge",100,187
"Grillpølse, med mindre fett, Gilde",100,164
"Grillpølse, Nordfjord",100,243
"Grillpølse, X-tra",100,210
"Kjøttpølse, Gilde",100,204
"Kjøttpølse, med mindre fett",100,191
